parametro,activo,mercado,hecho,fuente_respaldo,precision_temporal,estado_documental,semantica_pendiente,compatibilidad_motor,cambio_propuesto,supuesto_adicional_necesario,fact_id,source_id,known_from_utc,conocimiento_documental,aplicabilidad_documental,loadable_by_rulebook
MAX_NUM_ALGO_ORDERS.maxNumAlgoOrders,ETHUSDT,spot,"{""original"":5,""normalizado"":""5"",""unidad"":""dimensionless""}",https://web.archive.org/web/20230621052717id_/http://api.binance.com/api/v3/exchangeInfo?,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2023-06-18T16:14:25Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI23_ETHUSDT_MAX_NUM_ALGO_ORDERS_maxNumAlgoOrders,SPOTI23,,"{""known_from_utc"":null,""document_observed_at_utc"":""2023-06-18T16:14:25Z"",""consulted_at_utc"":""2026-09-24T23:49:46.960933Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""MAX_NUM_ALGO_ORDERS"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PRICE_FILTER.minPrice,BTCUSDT,spot,"{""original"":""0.01000000"",""normalizado"":""0.01"",""unidad"":""USDT""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PRICE_FILTER_minPrice,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PRICE_FILTER"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PRICE_FILTER.maxPrice,BTCUSDT,spot,"{""original"":""1000000.00000000"",""normalizado"":""1000000"",""unidad"":""USDT""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PRICE_FILTER_maxPrice,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PRICE_FILTER"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PRICE_FILTER.tickSize,BTCUSDT,spot,"{""original"":""0.01000000"",""normalizado"":""0.01"",""unidad"":""USDT""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,Órdenes anteriores pueden conservar condiciones; tick no define liquidez ni fills subminuto.,Compatible con redondeo adverso por tick; evento no prueba continuidad.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PRICE_FILTER_tickSize,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PRICE_FILTER"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
LOT_SIZE.minQty,BTCUSDT,spot,"{""original"":""0.00001000"",""normalizado"":""0.00001"",""unidad"":""BTC""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,LOT_SIZE y MARKET_LOT_SIZE son filtros distintos; maxQty limita cada orden.,El motor usa un único step/min_qty/max_qty y exige valores positivos.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_LOT_SIZE_minQty,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""LOT_SIZE"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
LOT_SIZE.maxQty,BTCUSDT,spot,"{""original"":""9000.00000000"",""normalizado"":""9000"",""unidad"":""BTC""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,LOT_SIZE y MARKET_LOT_SIZE son filtros distintos; maxQty limita cada orden.,El motor usa un único step/min_qty/max_qty y exige valores positivos.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_LOT_SIZE_maxQty,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""LOT_SIZE"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
LOT_SIZE.stepSize,BTCUSDT,spot,"{""original"":""0.00001000"",""normalizado"":""0.00001"",""unidad"":""BTC""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,LOT_SIZE y MARKET_LOT_SIZE son filtros distintos; maxQty limita cada orden.,El motor usa un único step/min_qty/max_qty y exige valores positivos.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_LOT_SIZE_stepSize,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""LOT_SIZE"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
ICEBERG_PARTS.limit,BTCUSDT,spot,"{""original"":10,""normalizado"":""10"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_ICEBERG_PARTS_limit,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""ICEBERG_PARTS"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
MARKET_LOT_SIZE.minQty,BTCUSDT,spot,"{""original"":""0.00000000"",""normalizado"":""0"",""unidad"":""BTC""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,LOT_SIZE y MARKET_LOT_SIZE son filtros distintos; maxQty limita cada orden. El cero está publicado; semántica histórica pendiente; nunca módulo por cero.,El motor usa un único step/min_qty/max_qty y exige valores positivos.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_minQty,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""MARKET"",""filter_type"":""MARKET_LOT_SIZE"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
MARKET_LOT_SIZE.maxQty,BTCUSDT,spot,"{""original"":""103.85345508"",""normalizado"":""103.85345508"",""unidad"":""BTC""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,LOT_SIZE y MARKET_LOT_SIZE son filtros distintos; maxQty limita cada orden.,El motor usa un único step/min_qty/max_qty y exige valores positivos.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_maxQty,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""MARKET"",""filter_type"":""MARKET_LOT_SIZE"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
MARKET_LOT_SIZE.stepSize,BTCUSDT,spot,"{""original"":""0.00000000"",""normalizado"":""0"",""unidad"":""BTC""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,LOT_SIZE y MARKET_LOT_SIZE son filtros distintos; maxQty limita cada orden. El cero está publicado; semántica histórica pendiente; nunca módulo por cero.,El motor usa un único step/min_qty/max_qty y exige valores positivos.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_stepSize,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""MARKET"",""filter_type"":""MARKET_LOT_SIZE"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
TRAILING_DELTA.minTrailingAboveDelta,BTCUSDT,spot,"{""original"":10,""normalizado"":""10"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_TRAILING_DELTA_minTrailingAboveDelta,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""TRAILING_DELTA"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
TRAILING_DELTA.maxTrailingAboveDelta,BTCUSDT,spot,"{""original"":2000,""normalizado"":""2000"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_TRAILING_DELTA_maxTrailingAboveDelta,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""TRAILING_DELTA"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
TRAILING_DELTA.minTrailingBelowDelta,BTCUSDT,spot,"{""original"":10,""normalizado"":""10"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_TRAILING_DELTA_minTrailingBelowDelta,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""TRAILING_DELTA"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
TRAILING_DELTA.maxTrailingBelowDelta,BTCUSDT,spot,"{""original"":2000,""normalizado"":""2000"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_TRAILING_DELTA_maxTrailingBelowDelta,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""TRAILING_DELTA"",""flags"":{},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PERCENT_PRICE_BY_SIDE.bidMultiplierUp,BTCUSDT,spot,"{""original"":""5"",""normalizado"":""5"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PERCENT_PRICE_BY_SIDE_bidMultiplierUp,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PERCENT_PRICE_BY_SIDE"",""flags"":{""avgPriceMins"":5},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PERCENT_PRICE_BY_SIDE.bidMultiplierDown,BTCUSDT,spot,"{""original"":""0.2"",""normalizado"":""0.2"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PERCENT_PRICE_BY_SIDE_bidMultiplierDown,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PERCENT_PRICE_BY_SIDE"",""flags"":{""avgPriceMins"":5},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PERCENT_PRICE_BY_SIDE.askMultiplierUp,BTCUSDT,spot,"{""original"":""5"",""normalizado"":""5"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PERCENT_PRICE_BY_SIDE_askMultiplierUp,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PERCENT_PRICE_BY_SIDE"",""flags"":{""avgPriceMins"":5},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
PERCENT_PRICE_BY_SIDE.askMultiplierDown,BTCUSDT,spot,"{""original"":""0.2"",""normalizado"":""0.2"",""unidad"":""dimensionless""}",https://web.archive.org/web/20251209111642id_/https://api.binance.com/api/v3/exchangeInfo,"{""kind"":""capture"",""valid_from_utc"":null,""valid_to_exclusive_utc"":null,""effective_at_utc"":null,""earliest_utc"":null,""latest_utc"":null,""observed_at_utc"":""2025-12-09T11:16:42Z"",""continuity_proven"":false}",observacion_puntual,"Vigencia, captura, publicación y conocimiento son dimensiones separadas. El campo no tiene representación separada o no se usa en órdenes MARKET del motor.",No cargar: RuleBook exige snapshot completo y cobertura temporal acreditada.,"Conservar evidencia; diagnóstico atemporal, sin interpolar ni forward-fill.",Cualquier persistencia fuera del punto/evento sería un supuesto nuevo no aprobado.,SPOTI25_BTCUSDT_PERCENT_PRICE_BY_SIDE_askMultiplierDown,SPOTI25,,"{""known_from_utc"":null,""document_observed_at_utc"":""2025-12-09T11:16:42Z"",""consulted_at_utc"":""2026-09-24T23:49:52.060101Z"",""publication_labels"":[],""publication_timezone_unknown"":true,""note"":""Captura acredita contenido observado, no inicio operativo ni primera publicación. Versión actual no prueba disponibilidad histórica de todas sus enmiendas.""}","{""orders"":""ver filtro y banderas"",""filter_type"":""PERCENT_PRICE_BY_SIDE"",""flags"":{""avgPriceMins"":5},""existing_orders_affected"":null,""existing_positions_affected"":null,""position_increases"":null,""semantic_reference"":""DOCSPOTRAW"",""historical_semantic_version_verified"":false}",False
